REF_DATE,GEO,DGUID,Condominium status,Residency status,Estimates,UOM,UOM_ID,SCALAR_FACTOR,SCALAR_ID,VECTOR,COORDINATE,VALUE,STATUS,SYMBOL,TERMINATED,DECIMALS
2017,Ajax,2011A00053518005,Not condominium,Resident,Median value,Dollars,81,units ,0,v116891363,3.3.2.2,469000,,,,0
2017,Ajax,2011A00053518005,Not condominium,Resident,Average value,Dollars,81,units ,0,v116891364,3.3.2.3,508300,,,,0
2017,Ajax,2011A00053518005,Not condominium,Resident,Total value,Dollars,81,units ,0,v116891365,3.3.2.4,16446077100,,,,0
2017,Ajax,2011A00053518005,Not condominium,Non-resident,Number,Number,223,units ,0,v116891366,3.3.3.1,283,,,,0
2017,Ajax,2011A00053518005,Not condominium,Non-resident,Median value,Dollars,81,units ,0,v116891367,3.3.3.2,448000,,,,0
2017,Ajax,2011A00053518005,Not condominium,Non-resident,Average value,Dollars,81,units ,0,v116891368,3.3.3.3,497100,,,,0
2017,Ajax,2011A00053518005,Not condominium,Non-resident,Total value,Dollars,81,units ,0,v116891369,3.3.3.4,140689600,,,,0
2017,Uxbridge,2011A00053518029,"Total, all condominium statuses","Total, all residency status categories",Number,Number,223,units ,0,v116891370,4.1.1.1,7708,,,,0
2017,Uxbridge,2011A00053518029,"Total, all condominium statuses","Total, all residency status categories",Median value,Dollars,81,units ,0,v116891371,4.1.1.2,498000,,,,0
2017,Uxbridge,2011A00053518029,"Total, all condominium statuses","Total, all residency status categories",Average value,Dollars,81,units ,0,v116891372,4.1.1.3,533300,,,,0
2017,Uxbridge,2011A00053518029,"Total, all condominium statuses","Total, all residency status categories",Total value,Dollars,81,units ,0,v116891373,4.1.1.4,4110567400,,,,0
2017,Uxbridge,2011A00053518029,"Total, all condominium statuses",Resident,Number,Number,223,units ,0,v116891374,4.1.2.1,7636,,,,0
2017,Uxbridge,2011A00053518029,"Total, all condominium statuses",Resident,Median value,Dollars,81,units ,0,v116891375,4.1.2.2,498000,,,,0
2017,Uxbridge,2011A00053518029,"Total, all condominium statuses",Resident,Average value,Dollars,81,units ,0,v116891376,4.1.2.3,533600,,,,0
2017,Uxbridge,2011A00053518029,"Total, all condominium statuses",Resident,Total value,Dollars,81,units ,0,v116891377,4.1.2.4,4074768800,,,,0
2017,Uxbridge,2011A00053518029,"Total, all condominium statuses",Non-resident,Number,Number,223,units ,0,v116891378,4.1.3.1,72,,,,0
2017,Uxbridge,2011A00053518029,"Total, all condominium statuses",Non-resident,Median value,Dollars,81,units ,0,v116891379,4.1.3.2,494000,,,,0
2017,Uxbridge,2011A00053518029,"Total, all condominium statuses",Non-resident,Average value,Dollars,81,units ,0,v116891380,4.1.3.3,497200,,,,0
2017,Uxbridge,2011A00053518029,"Total, all condominium statuses",Non-resident,Total value,Dollars,81,units ,0,v116891381,4.1.3.4,35798600,,,,0
2017,Uxbridge,2011A00053518029,Condominium,"Total, all residency status categories",Number,Number,223,units ,0,v116891382,4.2.1.1,403,,,,0
2017,Uxbridge,2011A00053518029,Condominium,"Total, all residency status categories",Median value,Dollars,81,units ,0,v116891383,4.2.1.2,323000,,,,0
2017,Uxbridge,2011A00053518029,Condominium,"Total, all residency status categories",Average value,Dollars,81,units ,0,v116891384,4.2.1.3,333100,,,,0
2017,Uxbridge,2011A00053518029,Condominium,"Total, all residency status categories",Total value,Dollars,81,units ,0,v116891385,4.2.1.4,134234000,,,,0
2017,Uxbridge,2011A00053518029,Condominium,Resident,Number,Number,223,units ,0,v116891386,4.2.2.1,400,,,,0
2017,Uxbridge,2011A00053518029,Condominium,Resident,Median value,Dollars,81,units ,0,v116891387,4.2.2.2,323000,,,,0
2017,Uxbridge,2011A00053518029,Condominium,Resident,Average value,Dollars,81,units ,0,v116891388,4.2.2.3,333900,,,,0
2017,Uxbridge,2011A00053518029,Condominium,Resident,Total value,Dollars,81,units ,0,v116891389,4.2.2.4,133553000,,,,0
2017,Uxbridge,2011A00053518029,Condominium,Non-resident,Number,Number,223,units ,0,v116891390,4.2.3.1,3,,,,0
2017,Uxbridge,2011A00053518029,Condominium,Non-resident,Median value,Dollars,81,units ,0,v116891391,4.2.3.2,,x,,,0
2017,Uxbridge,2011A00053518029,Condominium,Non-resident,Average value,Dollars,81,units ,0,v116891392,4.2.3.3,,x,,,0
2017,Uxbridge,2011A00053518029,Condominium,Non-resident,Total value,Dollars,81,units ,0,v116891393,4.2.3.4,,x,,,0
2017,Uxbridge,2011A00053518029,Not condominium,"Total, all residency status categories",Number,Number,223,units ,0,v116891394,4.3.1.1,7305,,,,0
2017,Uxbridge,2011A00053518029,Not condominium,"Total, all residency status categories",Median value,Dollars,81,units ,0,v116891395,4.3.1.2,508000,,,,0
2017,Uxbridge,2011A00053518029,Not condominium,"Total, all residency status categories",Average value,Dollars,81,units ,0,v116891396,4.3.1.3,544300,,,,0
2017,Uxbridge,2011A00053518029,Not condominium,"Total, all residency status categories",Total value,Dollars,81,units ,0,v116891397,4.3.1.4,3976333400,,,,0
2017,Uxbridge,2011A00053518029,Not condominium,Resident,Number,Number,223,units ,0,v116891398,4.3.2.1,7236,,,,0
2017,Uxbridge,2011A00053518029,Not condominium,Resident,Median value,Dollars,81,units ,0,v116891399,4.3.2.2,508000,,,,0
2017,Uxbridge,2011A00053518029,Not condominium,Resident,Average value,Dollars,81,units ,0,v116891400,4.3.2.3,544700,,,,0
2017,Uxbridge,2011A00053518029,Not condominium,Resident,Total value,Dollars,81,units ,0,v116891401,4.3.2.4,3941215800,,,,0
2017,Uxbridge,2011A00053518029,Not condominium,Non-resident,Number,Number,223,units ,0,v116891402,4.3.3.1,69,,,,0
2017,Uxbridge,2011A00053518029,Not condominium,Non-resident,Median value,Dollars,81,units ,0,v116891403,4.3.3.2,501000,,,,0
2017,Uxbridge,2011A00053518029,Not condominium,Non-resident,Average value,Dollars,81,units ,0,v116891404,4.3.3.3,509000,,,,0
2017,Uxbridge,2011A00053518029,Not condominium,Non-resident,Total value,Dollars,81,units ,0,v116891405,4.3.3.4,35117600,,,,0
2017,Vaughan,2011A00053519028,"Total, all condominium statuses","Total, all residency status categories",Number,Number,223,units ,0,v116891406,5.1.1.1,95677,,,,0
2017,Vaughan,2011A00053519028,"Total, all condominium statuses","Total, all residency status categories",Median value,Dollars,81,units ,0,v116891407,5.1.1.2,786000,,,,0
2017,Vaughan,2011A00053519028,"Total, all condominium statuses","Total, all residency status categories",Average value,Dollars,81,units ,0,v116891408,5.1.1.3,845200,,,,0
2017,Vaughan,2011A00053519028,"Total, all condominium statuses","Total, all residency status categories",Total value,Dollars,81,units ,0,v116891409,5.1.1.4,80866453900,,,,0
2017,Vaughan,2011A00053519028,"Total, all condominium statuses",Resident,Number,Number,223,units ,0,v116891410,5.1.2.1,94317,,,,0
2017,Vaughan,2011A00053519028,"Total, all condominium statuses",Resident,Median value,Dollars,81,units ,0,v116891411,5.1.2.2,787000,,,,0
2017,Vaughan,2011A00053519028,"Total, all condominium statuses",Resident,Average value,Dollars,81,units ,0,v116891412,5.1.2.3,846100,,,,0
2017,Vaughan,2011A00053519028,"Total, all condominium statuses",Resident,Total value,Dollars,81,units ,0,v116891413,5.1.2.4,79801517400,,,,0
2017,Vaughan,2011A00053519028,"Total, all condominium statuses",Non-resident,Number,Number,223,units ,0,v116891414,5.1.3.1,1360,,,,0
2017,Vaughan,2011A00053519028,"Total, all condominium statuses",Non-resident,Median value,Dollars,81,units ,0,v116891415,5.1.3.2,721000,,,,0
2017,Vaughan,2011A00053519028,"Total, all condominium statuses",Non-resident,Average value,Dollars,81,units ,0,v116891416,5.1.3.3,783000,,,,0
2017,Vaughan,2011A00053519028,"Total, all condominium statuses",Non-resident,Total value,Dollars,81,units ,0,v116891417,5.1.3.4,1064936500,,,,0
2017,Vaughan,2011A00053519028,Condominium,"Total, all residency status categories",Number,Number,223,units ,0,v116891418,5.2.1.1,12968,,,,0
2017,Vaughan,2011A00053519028,Condominium,"Total, all residency status categories",Median value,Dollars,81,units ,0,v116891419,5.2.1.2,408000,,,,0
2017,Vaughan,2011A00053519028,Condominium,"Total, all residency status categories",Average value,Dollars,81,units ,0,v116891420,5.2.1.3,434700,,,,0
2017,Vaughan,2011A00053519028,Condominium,"Total, all residency status categories",Total value,Dollars,81,units ,0,v116891421,5.2.1.4,5637214800,,,,0
2017,Vaughan,2011A00053519028,Condominium,Resident,Number,Number,223,units ,0,v116891422,5.2.2.1,12598,,,,0
2017,Vaughan,2011A00053519028,Condominium,Resident,Median value,Dollars,81,units ,0,v116891423,5.2.2.2,409000,,,,0
2017,Vaughan,2011A00053519028,Condominium,Resident,Average value,Dollars,81,units ,0,v116891424,5.2.2.3,435400,,,,0
2017,Vaughan,2011A00053519028,Condominium,Resident,Total value,Dollars,81,units ,0,v116891425,5.2.2.4,5484977800,,,,0
2017,Vaughan,2011A00053519028,Condominium,Non-resident,Number,Number,223,units ,0,v116891426,5.2.3.1,370,,,,0
2017,Vaughan,2011A00053519028,Condominium,Non-resident,Median value,Dollars,81,units ,0,v116891427,5.2.3.2,388000,,,,0
2017,Vaughan,2011A00053519028,Condominium,Non-resident,Average value,Dollars,81,units ,0,v116891428,5.2.3.3,411500,,,,0
2017,Vaughan,2011A00053519028,Condominium,Non-resident,Total value,Dollars,81,units ,0,v116891429,5.2.3.4,152237000,,,,0
2017,Vaughan,2011A00053519028,Not condominium,"Total, all residency status categories",Number,Number,223,units ,0,v116891430,5.3.1.1,82709,,,,0
